frame,shot_type
1,Unknown
2,Unknown
3,Unknown
4,Unknown
5,Unknown
6,Unknown
7,Unknown
8,Unknown
9,Unknown
10,Unknown
11,Unknown
12,Unknown
13,Unknown
14,Unknown
15,Unknown
16,Unknown
17,Unknown
18,Unknown
19,Unknown
20,Unknown
21,Unknown
22,Unknown
23,Unknown
24,Unknown
25,Unknown
26,Unknown
27,Unknown
28,Unknown
29,Unknown
30,Unknown
31,Unknown
32,Unknown
33,Unknown
34,Unknown
35,Unknown
36,Unknown
37,Unknown
38,Unknown
39,Unknown
40,Unknown
41,Unknown
42,Unknown
43,Unknown
44,Unknown
45,Unknown
46,Unknown
47,Unknown
48,Unknown
49,Unknown
50,Unknown
51,Unknown
52,Unknown
53,Unknown
54,Unknown
55,Unknown
56,Unknown
57,Unknown
58,Unknown
59,Unknown
60,Unknown
61,Unknown
62,Unknown
63,Unknown
64,Unknown
65,Unknown
66,Unknown
67,Unknown
68,Unknown
69,Unknown
70,Unknown
71,Unknown
72,Unknown
73,Unknown
74,Unknown
75,Unknown
76,Unknown
77,Unknown
78,Unknown
79,Unknown
80,Unknown
81,Unknown
82,Unknown
83,Unknown
84,Unknown
85,Unknown
86,Unknown
87,Unknown
88,Unknown
89,Unknown
90,Unknown
91,Unknown
92,Unknown
93,Unknown
94,Unknown
95,Unknown
96,Unknown
97,Unknown
98,Unknown
99,Unknown
100,Unknown
101,Unknown
102,Unknown
103,Unknown
104,Unknown
105,Unknown
106,Unknown
107,Unknown
108,Unknown
109,Unknown
110,Unknown
111,Unknown
112,Unknown
113,Unknown
114,Unknown
115,Unknown
116,Unknown
117,Unknown
118,Unknown
119,Unknown
120,Unknown
121,Unknown
122,Unknown
123,Unknown
124,Unknown
125,Unknown
126,Unknown
127,Unknown
128,Unknown
129,Unknown
130,Unknown
131,Unknown
132,Unknown
133,Unknown
134,Unknown
135,Unknown
136,Unknown
137,Unknown
138,Unknown
139,Unknown
140,Unknown
141,Unknown
142,Unknown
143,Unknown
144,Unknown
145,Unknown
146,Unknown
147,Unknown
148,Unknown
149,Unknown
150,Unknown
151,Unknown
152,Unknown
153,Unknown
154,Unknown
155,Unknown
156,Unknown
157,Unknown
158,Unknown
159,Unknown
160,Unknown
161,Unknown
162,Unknown
163,Unknown
164,Unknown
165,Unknown
166,Unknown
167,Unknown
168,Unknown
169,Unknown
170,Unknown
171,Unknown
172,Unknown
173,Unknown
174,Unknown
175,Unknown
176,Unknown
177,Unknown
178,Unknown
179,Unknown
180,Unknown
181,Unknown
182,Unknown
183,Unknown
184,Unknown
185,Unknown
186,Unknown
187,Unknown
188,Unknown
189,Unknown
190,Unknown
191,Unknown
192,Unknown
193,Unknown
194,Unknown
195,Unknown
196,Unknown
197,Unknown
198,Unknown
199,Unknown
200,Unknown
201,Unknown
202,Unknown
203,Unknown
204,Unknown
205,Unknown
206,Unknown
207,Unknown
208,Unknown
209,Unknown
210,Unknown
211,Unknown
212,Unknown
213,Unknown
214,Unknown
215,Unknown
216,Unknown
217,Unknown
218,Unknown
219,Unknown
220,Unknown
221,Unknown
222,Unknown
223,Unknown
224,Unknown
225,Unknown
226,Unknown
227,Unknown
228,Unknown
229,Unknown
230,Unknown
231,Unknown
232,Unknown
233,Unknown
234,Unknown
235,Unknown
236,Unknown
237,Unknown
238,Unknown
239,Unknown
240,Unknown
241,Unknown
242,Unknown
243,Unknown
244,Unknown
245,Unknown
246,Unknown
247,Unknown
248,Unknown
249,Unknown
250,Unknown
251,Unknown
252,Unknown
253,Unknown
254,Unknown
255,Unknown
256,Unknown
257,Unknown
258,Unknown
259,Unknown
260,Unknown
261,Unknown
262,Unknown
263,Unknown
264,Unknown
265,Unknown
266,Unknown
267,Unknown
268,Unknown
269,Unknown
270,Unknown
271,Unknown
272,Unknown
273,Unknown
274,Unknown
275,Unknown
276,Unknown
277,Unknown
278,Unknown
279,Unknown
280,Unknown
281,Unknown
282,Unknown
283,Unknown
284,Unknown
285,Unknown
286,Unknown
287,Unknown
288,Unknown
289,Unknown
290,Unknown
291,Unknown
292,Unknown
293,Unknown
294,Unknown
295,Unknown
296,Unknown
297,Unknown
298,Unknown
299,Unknown
300,Unknown
301,Unknown
302,Unknown
303,Unknown
304,Unknown
305,Unknown
306,Unknown
307,Unknown
308,Unknown
309,Unknown
310,Unknown
311,Unknown
312,Unknown
313,Unknown
314,Unknown
315,Unknown
316,Unknown
317,Unknown
318,Unknown
319,Unknown
320,Unknown
321,Unknown
322,Unknown
323,Unknown
324,Unknown
325,Unknown
326,Unknown
327,Unknown
328,Unknown
329,Unknown
330,Unknown
331,Unknown
332,Unknown
333,Unknown
334,Unknown
335,Unknown
336,Unknown
337,Unknown
338,Unknown
339,Unknown
340,Unknown
341,Unknown
342,Unknown
343,Unknown
344,Unknown
345,Unknown
346,Unknown
347,Unknown
348,Unknown
349,Unknown
350,Unknown
351,Unknown
352,Unknown
353,Unknown
354,Unknown
355,Unknown
356,Unknown
357,Unknown
358,Unknown
359,Unknown
360,Unknown
361,Unknown
362,Unknown
363,Unknown
364,Unknown
365,Unknown
366,Unknown
367,Unknown
368,Unknown
369,Unknown
370,Unknown
371,Unknown
372,Unknown
373,Unknown
374,Unknown
375,Unknown
376,Unknown
377,Unknown
378,Unknown
379,Unknown
380,Unknown
381,Unknown
382,Unknown
383,Unknown
384,Backhand
385,Backhand
386,Backhand
387,Backhand
388,Backhand
389,Backhand
390,Backhand
391,Backhand
392,Backhand
393,Backhand
394,Backhand
395,Backhand
396,Backhand
397,Backhand
398,Backhand
399,Backhand
400,Backhand
401,Backhand
402,Backhand
403,Backhand
404,Backhand
405,Backhand
406,Backhand
407,Backhand
408,Backhand
409,Backhand
410,Backhand
411,Backhand
412,Backhand
413,Backhand
414,Backhand
415,Backhand
416,Backhand
417,Backhand
418,Backhand
419,Backhand
420,Backhand
421,Backhand
422,Backhand
423,Backhand
424,Backhand
425,Backhand
426,Backhand
427,Backhand
428,Backhand
429,Backhand
430,Backhand
431,Backhand
432,Backhand
433,Backhand
434,Backhand
435,Backhand
436,Backhand
437,Backhand
438,Backhand
439,Backhand
440,Backhand
441,Backhand
442,Backhand
443,Backhand
444,Backhand
445,Backhand
